Lake,Lake_reservoir,Volume_m3,MeanQ_cumecs,tau,RTOTN,RTDN,RDIN,RDON,RPartN,RTOTP,RTDP,RSRP,RTPP,RTDP/RTOTP
Abraham,R,1.76,71,0.7860,39,31,32,-1,8,90,49,24,41,0.54
Gleniffer,R,0.2,34,0.1865,0,0,0,0,0,54,0,0,54,0.00
Barrier,R,0.02,13,0.0488,0,0,0,0,0,39,49,58,0,1.26
Ghost,R,0.16,86,0.0590,8,0,0,0,8,51,0,0,51,0.00
Bearspaw,R,0.04,82,0.0155,12,13,18,-5,-1,24,6,6,18,0.25
Oldman,R,0.5,41,0.3867,28,0,0,0,28,75,0,0,75,0.00
Waterton,R,0.17,24,0.2246,9,0,0,0,9,69,0,0,69,0.00
St. Mary,R,0.39,37,0.3342,0,0,0,0,0,43,0,0,43,0.00
Diefenbaker,R,9.4,265,1.1248,64,31,39,-8,33,94,44,64,50,0.47
Codette,R,0.44,471,0.0296,15,2,1,1,13,47,0,4,47,0.00
Tobin,R,2.06,512,0.1276,0,0,17,-17,0,0,0,0,0,
Cedar,R,12.25,662,0.5868,39,,61,,,70,0,0,70,0.00
Red deer,L,0.3,35,0.2718,26,37,72,-35,-11,37,71,85,0,1.92
Dauphin,L,1.25,30,1.3212,27,30,81,-51,-3,50,52,75,0,1.04
Winnipegosis,L,16,154,3.2945,31,20,90,-70,11,73,65,75,8,0.89
Manitoba,L,17,215,2.5073,31,30,83,-53,1,86,86,96,0,1.00
Lake of the prairies,R,0.37,43,0.2729,0,0,0,0,0,17,0,0,17,0.00
Pelican,L,0.11,2,1.7440,93,94,97,-3,-1,93,93,93,0,1.00
Rock,L,0.05,13,0.1220,0,0,0,0,0,0,0,0,0,
Swan,L,0.01,15,0.0211,0,4,19,-15,-4,0,0,0,0,
Ashtabula,R,0.09,26,0.1098,0,,,,,0,,,,
Lake of the woods,L,22.8,540,1.3389,,,,,,54,,,,
Point du Bois,R,0.14,1128,0.0039,0,0,0,0,0,0,0,0,0,
Lac du Bonnet,R,0.66,1258,0.0166,0,0,0,0,0,0,0,0,0,
