vatnLnr,area_km2,circum_km,avg_dep_m,max_dep_m,vol_Mm3,res_time_yr,regine,width_m,length_m,aspect_ratio,vassom,slp_min,slp_p25,slp_median,slp_p75,slp_max,slp_mean,slp_std,slp_count,dem_min,dem_p25,dem_median,dem_p75,dem_max,dem_mean,dem_std,dem_count,delta_elev
2,51.0,0.0,190.0,460.0,9700.0,2.89730808,016.G11,1065.6150307637945,48386.56231583718,45.407169492678264,016,0.017991596832871437,13.335129737854004,21.66231346130371,30.455581665039062,64.44975280761719,22.234058700064182,11.984815113165908,57649,182.91757202148438,273.7500915527344,399.7764587402344,532.3626708984375,1135.6591796875,420.59109438151575,172.60066352671316,57649,237.67352236003137
3,78.51,206.62,20.0,68.5,1573.523,1.0,016.J11,744.3109506616893,106268.97207126646,142.7749678770597,016,0.0,4.180825352668762,8.642996788024902,15.453807830810547,59.049644470214844,10.843427805394459,8.604296225495657,65178,884.5384521484375,934.4465942382812,958.5491943359375,1010.4269866943359,1366.511474609375,984.907790972414,72.29874911655939,65178,100.36933882397648
6,58.4,0.0,87.0,171.0,5100.0,0.60912455,016.B3,781.0110162684359,70570.27140500481,90.35758771006834,016,0.0,5.2709949016571045,9.060009002685547,14.83516526222229,56.745906829833984,11.125023604816493,8.21946025329771,45012,3.5699219703674316,38.78205490112305,63.614112854003906,97.01916694641113,401.0845642089844,78.19785834888474,59.19279329231685,45012,74.6279363785173
7,18.7,0.0,67.0,152.0,1260.0,0.39020221,016.BB11,746.9074481727675,26240.470290249432,35.132157745171845,016,0.0,10.130486249923706,17.496028900146484,25.78637933731079,70.02849578857422,19.10299309521685,11.790125418737702,22412,70.36152648925781,112.26826477050781,177.50503540039062,268.0619125366211,605.3025512695312,203.99315099054078,111.21641318993127,22412,133.63162450128297
8,13.8,0.0,92.0,201.0,1280.0,0.41260285,016.BB11,733.598668415767,21490.15413328375,29.29415640801601,016,0.0,13.82362413406372,21.92789077758789,31.346829414367676,66.36944580078125,22.937650793172086,12.375085037815813,16579,71.9384765625,115.38977813720703,179.9425048828125,290.5420379638672,799.0899658203125,216.92134628144038,126.32543295300029,16579,144.98286971894038
9,37.5,0.0,62.0,306.0,2360.0,0.0,016.BG111,846.0612271165555,44044.35178624933,52.05811396931167,016,0.0,7.7184059619903564,15.172309875488281,28.47865104675293,63.816287994384766,18.573437956737795,13.095484837371865,34210,650.3386840820312,715.0831451416016,771.8536987304688,898.1758880615234,1328.894775390625,824.1895936860567,138.3306642905403,34210,173.85090960402545
22,26.12,0.0,121.0,325.0,3169.4,1.09240123,016.BD31,781.3092732414516,34262.57715171333,43.85277165541207,016,0.0,21.429075241088867,31.591522216796875,38.91360378265381,65.97220611572266,30.11689862191295,12.93144299204288,29316,71.95547485351562,168.37554550170898,300.3616943359375,448.8402404785156,838.5924072265625,321.57647700914174,176.53217683874882,29316,249.62100215562612
23,0.49,0.0,3.4,12.0,1.66,0.01491565,016.BDC1,368.8336538112321,8462.12530527219,22.942931638236782,016,0.06264513731002808,6.789515018463135,11.363186836242676,17.242361068725586,47.47751235961914,12.52745545288819,7.200955926898649,3497,701.781005859375,751.8195190429688,768.6812744140625,792.6153564453125,910.4868774414062,776.6840148698885,34.30435720133418,3497,74.90300901051353
24,2.98,21.77,7.0,35.5,21.747,0.017,016.BEA3,243.7869451522638,13617.100629123195,55.85656205100836,016,0.0,5.979507923126221,12.411303520202637,20.445133209228516,47.12874984741211,13.8194637454264,9.7736134288571,3553,454.1797790527344,472.01934814453125,490.0048828125,517.7770385742188,609.1534423828125,498.31666901210247,30.100349712804736,3553,44.13688995936809
27,0.5,0.0,16.2,33.5,8.5,0.03477251,016.CC5,337.7757108572173,2043.7929448747423,6.050739822848551,016,0.05251636356115341,8.278706550598145,23.573570251464844,35.74497604370117,56.33580780029297,22.800912538900416,15.521574004036347,1205,158.46347045898438,165.1156768798828,206.17385864257812,270.80389404296875,520.01171875,230.65459024896265,76.57640714357689,1205,72.19111978997827
