regine,wood_din_µg/l,wood_totn_µg/l,wood_tdp_µg/l,wood_totp_µg/l,wood_toc_mg/l,upland_din_µg/l,upland_totn_µg/l,upland_tdp_µg/l,upland_totp_µg/l,upland_toc_mg/l,wood_ton_µg/l,wood_tpp_µg/l,upland_ton_µg/l,upland_tpp_µg/l
001.10,80.2,501.8,1.3,10.6,21.8,72.2,311.3,2.0,8.3,10.1,421.6,9.299999999999999,239.10000000000002,6.300000000000001
001.1A1,80.3,502.3,1.3,10.6,21.8,72.6,311.7,2.0,8.3,10.1,422.0,9.299999999999999,239.1,6.300000000000001
001.1A20,79.9,502.8,1.2,10.7,21.9,72.3,311.4,2.0,8.3,10.1,422.9,9.5,239.09999999999997,6.300000000000001
001.1A2A,79.5,504.6,1.2,10.7,22.1,72.6,311.7,2.0,8.4,10.1,425.1,9.5,239.1,6.4
001.1A2B,77.6,505.2,1.2,10.8,22.2,71.0,309.7,2.0,8.4,10.1,427.6,9.600000000000001,238.7,6.4
001.1A3,80.9,504.0,1.2,10.6,22.0,73.7,313.1,2.0,8.4,10.1,423.1,9.4,239.40000000000003,6.4
001.1A40,80.4,505.1,1.2,10.7,22.1,73.6,312.9,2.0,8.4,10.1,424.70000000000005,9.5,239.29999999999998,6.4
001.1A4A,79.8,507.2,1.2,10.7,22.4,73.7,313.0,2.0,8.5,10.1,427.4,9.5,239.3,6.5
001.1A4B,78.5,507.8,1.2,10.8,22.4,72.7,311.8,2.0,8.5,10.1,429.3,9.600000000000001,239.10000000000002,6.5
001.1A4C,77.6,508.1,1.2,10.9,22.5,72.0,310.9,2.0,8.5,10.1,430.5,9.700000000000001,238.89999999999998,6.5
001.1A4D,77.2,507.2,1.2,10.9,22.4,71.3,310.1,2.0,8.5,10.1,430.0,9.700000000000001,238.8,6.5
001.1A5,81.7,504.9,1.2,10.6,22.1,74.7,314.2,2.0,8.4,10.1,423.2,9.4,239.5,6.4
001.1A6,81.3,506.8,1.2,10.7,22.3,74.9,314.5,2.0,8.4,10.1,425.5,9.5,239.6,6.4
001.1B,82.2,508.1,1.2,10.7,22.5,76.1,315.9,2.0,8.5,10.1,425.90000000000003,9.5,239.79999999999998,6.5
001.1C,82.9,508.9,1.2,10.6,22.5,77.1,317.0,2.0,8.5,10.1,426.0,9.4,239.9,6.5
001.1D,85.8,510.1,1.2,10.5,22.6,80.3,320.6,2.0,8.5,10.2,424.3,9.3,240.3,6.5
001.1E,83.1,512.8,1.2,10.7,23.0,78.4,318.5,2.0,8.6,10.2,429.69999999999993,9.5,240.1,6.6
001.1F,81.6,514.0,1.2,10.8,23.2,77.3,317.2,2.0,8.7,10.2,432.4,9.600000000000001,239.89999999999998,6.699999999999999
001.1G,80.2,512.2,1.2,10.8,23.0,75.5,315.1,2.0,8.6,10.1,432.00000000000006,9.600000000000001,239.60000000000002,6.6
001.1H,79.3,511.9,1.2,10.9,22.9,74.5,313.9,2.0,8.6,10.1,432.59999999999997,9.700000000000001,239.39999999999998,6.6
001.1J,78.6,509.9,1.2,10.9,22.7,73.3,312.5,2.0,8.5,10.1,431.29999999999995,9.700000000000001,239.2,6.5
001.1K,77.0,509.6,1.2,10.9,22.7,71.7,310.5,2.0,8.5,10.1,432.6,9.700000000000001,238.8,6.5
001.1L,76.0,509.8,1.2,11.0,22.8,70.8,309.3,2.0,8.6,10.1,433.8,9.8,238.5,6.6
001.1M,76.0,507.6,1.2,11.0,22.5,70.1,308.5,2.0,8.5,10.1,431.6,9.8,238.4,6.5
001.21,79.9,502.4,1.3,10.7,21.9,72.2,311.3,2.0,8.3,10.1,422.5,9.399999999999999,239.10000000000002,6.300000000000001
001.2210,79.6,501.6,1.3,10.7,21.8,71.6,310.6,2.0,8.3,10.1,422.0,9.399999999999999,239.00000000000003,6.300000000000001
001.221Z,79.2,501.2,1.3,10.7,21.8,71.1,309.9,2.0,8.3,10.1,422.0,9.399999999999999,238.79999999999998,6.300000000000001
001.2220,79.7,499.9,1.3,10.7,21.6,71.0,309.8,2.0,8.3,10.1,420.2,9.399999999999999,238.8,6.300000000000001
001.222Z,79.1,500.3,1.3,10.7,21.7,70.5,309.2,2.0,8.3,10.1,421.20000000000005,9.399999999999999,238.7,6.300000000000001
001.2230,79.5,498.6,1.3,10.7,21.5,70.2,308.9,2.0,8.3,10.1,419.1,9.399999999999999,238.7,6.300000000000001
001.223Z,78.6,499.8,1.3,10.7,21.7,69.8,308.3,2.0,8.3,10.1,421.20000000000005,9.399999999999999,238.5,6.300000000000001
001.224,79.9,495.7,1.4,10.7,21.3,69.3,307.7,2.0,8.2,10.1,415.79999999999995,9.299999999999999,238.39999999999998,6.199999999999999
001.22Z,78.9,497.8,1.4,10.7,21.5,69.1,307.4,2.0,8.3,10.1,418.9,9.299999999999999,238.29999999999998,6.300000000000001
001.2Z,78.5,502.6,1.3,10.8,21.9,70.8,309.6,2.0,8.3,10.1,424.1,9.5,238.8,6.300000000000001
001.310,80.4,493.3,1.4,10.6,21.1,68.7,307.0,2.0,8.2,10.1,412.9,9.2,238.3,6.199999999999999
