N°,Reference,Name,Type,Period,Location,z,tau,RTN,RDIN,LTN,LDIN,LDIN/LTN,CTP,TN/TP,rho,LDON,LTN_out,LDIN_out,LDON_out,RDON
1,Berge et al. 1997,Bergsvatn,Lake,1992-1994,Norway,4.5,0.1,0.2,,75.0,,,13.0,123.0,10.0,,60.0,,,
2,Berge et al. 1997,Eikenesvatn,Lake,1992-1994,Norway,1.5,0.01,0.28,,365.0,,,20.0,60.0,100.0,,262.8,,,
3,Berge et al. 1997,Grennesvatn N,Lake,1992-1994,Norway,2.3,0.02,0.08,,222.0,,,18.0,94.0,50.0,,204.24,,,
4,Berge et al. 1997,Grennesvatn S,Lake,1992-1994,Norway,1.0,0.005,-0.11,,,,,20.0,,200.0,,,,,
5,Berge et al. 1997,Haugestadvatn,Lake,1992-1994,Norway,1.4,0.01,0.05,,215.0,,,35.0,46.0,100.0,,204.25,,,
6,Berge et al. 1997,Hofreistevatn,Lake,1993-1995,Norway,34.3,0.2,0.0,,80.0,,,3.0,121.0,5.0,,80.0,,,
7,Berge et al. 1997,Ørsdalsvatn,Lake,1993-1995,Norway,138.0,2.6,0.05,,18.0,,,2.0,162.0,0.3846153846153846,,17.099999999999998,,,
8,Dudel and Kohl 1992,Müggelsee,Lake,1978-1984,Germany,4.9,0.1,0.17,,,,,168.0,13.0,10.0,,,,,
9,Ekholm et al. 1997,Lappajärvi,Lake,unknown,Finland,7.4,2.8,0.59,,,,,24.0,,0.35714285714285715,,,,,
10,Fleischer et al. 1994,Stjärnap,Lake,1992-1993,Sweden,1.2,0.01,0.1,,767.0,,,,,100.0,,690.3000000000001,,,
11,Fleischer et al. 1994,Tjärby 1,Lake,1992-1993,Sweden,2.1,0.04,0.03,,1026.0,,,,,25.0,,995.22,,,
12,Frisk et al. 2006,Hauhonselkä,Lake,unknown,Finland,3.6,1.2,0.52,,4.0,,,27.0,26.0,0.8333333333333334,,1.92,,,
13,Frisk et al. 2006,Ilmoilanselkä,Lake,unknown,Finland,4.4,1.5,0.91,,13.0,,,17.0,26.0,0.6666666666666666,,1.1699999999999995,,,
